2003,78,Sim,Não,Não,Não,907596,2486.6,Agropecuária,Campos Novos,Em operação,-27.345001,-50.98956,SC
2019,79,Sim,Sim,Não,Não,511000,1400,Agropecuária,Palma Sola,Em operação,-26.28675,-53.29116,SC
2018,80,Não,Sim,Não,Não,410469,1124.6,Agropecuária,Chapecó,Em operação,-27.071852,-52.714916,SC
2015,81,Não,Sim,Não,Não,27354,74.9,Agropecuária,Pirassununga,Em reforma,-21.92714,-47.351569,SP
2006,82,Não,Sim,Não,Não,107265,293.9,Agropecuária,Vera Cruz do Oeste,Em operação,-24.925563,-54.003707,PR
2008,83,Sim,Não,Não,Não,2000000,10000,Indústria,Pradópolis,Em operação,-21.31824,-48.1274,SP
2015,84,Não,Não,Sim,Não,135800,372.1,Agropecuária,Uberlândia,Em operação,-18.854113,-48.410677,MG
2013,85,Não,Sim,Não,Não,182500,500,Agropecuária,Entre Rios do Oeste,Em operação,-24.719209,-54.226241,PR
2006,86,Não,Sim,Não,Não,803000,2200,Agropecuária,São Miguel do Iguaçu,Em operação,-25.376318,-54.159196,PR
2011,87,Sim,Não,Sim,Não,465600,1275.6,Agropecuária,Quatro Pontes,Em operação,-24.5992,-53.985789,PR
2011,88,Não,Sim,Não,Não,7000000,35000,Indústria,Tamboara,Em operação,-23.197778,-52.498056,PR
2015,89,Não,Sim,Sim,Não,438000,1200,Agropecuária,Rondonópolis,Em operação,-16.898099,-54.813353,MT
2014,93,Não,Sim,Não,Não,446939,1224.5,Agropecuária,Gameleira de Goiás,Em operação,-16.424602,-48.800509,GO
2015,94,Não,Sim,Não,Não,52560000,144000,RSU e Estação de Tratamento de Esgoto,Minas do Leão,Em operação,-30.147873,-52.026143,RS
2018,96,Não,Não,Não,Sim,52560000,144000,RSU e Estação de Tratamento de Esgoto,Seropédica,Em operação,-22.788352,-43.763101,RJ
2018,97,Não,Sim,Não,Não,182360,499.6,Agropecuária,Dois Vizinhos,Em operação,-25.74319,-53.080619,PR
2011,98,Não,Sim,Não,Não,58400,160,Agropecuária,Tucunduva,Em operação,-27.588237,-54.460678,RS
2012,99,Sim,Não,Não,Não,7300,20,Agropecuária,Três de Maio,Em operação,-27.786445,-54.247919,RS
2013,101,Não,Sim,Não,Não,201123,551,Agropecuária,Santo Cristo,Em operação,-27.802,-54.609,RS
2012,102,Sim,Não,Não,Não,876000,2400,Indústria,Medianeira,Em operação,-25.284769,-54.10452,PR
2011,104,Não,Não,Não,Sim,189800,520,RSU e Estação de Tratamento de Esgoto,Foz do Iguaçu,Em operação,-25.436775,-54.597337,PR
2008,107,Não,Sim,Sim,Não,178776,489.8,Agropecuária,Papanduva,Em operação,-26.287193,-50.186936,SC
2015,108,Não,Sim,Não,Não,272628,746.9,Agropecuária,Rio Verde,Em reforma,-18.036611,-50.073778,GO
2006,109,Não,Não,Sim,Não,1014372,2779.1,Agropecuária,Papanduva,Em operação,-26.351768,-50.277615,SC
2005,111,Não,Sim,Não,Não,143021,391.8,Agropecuária,Toledo,Em operação,-24.771823,-53.725268,PR
2015,112,Não,Sim,Não,Não,1072654,2938.8,Agropecuária,Patos de Minas,Em operação,-18.747986,-46.662169,MG
2013,114,Sim,Não,Não,Não,3504000,9600,Indústria,Mococa,Em operação,-21.450556,-47.004189,SP
2008,115,Sim,Não,Não,Não,5256000,14400,Indústria,Maringá,Em operação,-23.306643,-51.894147,PR
2014,116,Sim,Não,Não,Não,3000000,12000,Indústria,Planaltina do Paraná,Em reforma,-23.008799,-52.95712,PR
2012,117,Não,Sim,Não,Não,171625,470.2,Agropecuária,Cascavel,Em operação,-24.957778,-53.459444,PR
2015,118,Sim,Não,Não,Não,832200,2280,Indústria,Maringá,Em operação,-23.524938,-52.030746,PR
2005,119,Sim,Sim,Não,Não,5292500,14500,Indústria,Valinhos,Em operação,-23.026323,-47.036117,SP
2015,122,Não,Sim,Não,Não,597273,1636.4,RSU e Estação de Tratamento de Esgoto,Cascavel,Em operação,-24.851692,-53.486171,PR
2015,124,Sim,Sim,Não,Não,70080000,192000,RSU e Estação de Tratamento de Esgoto,Mauá,Em operação,-23.708686,-46.475,SP
2016,126,Não,Sim,Não,Não,22712291,62225.5,RSU e Estação de Tratamento de Esgoto,Santana de Parnaíba,Em operação,-23.41471,-46.963336,SP
2015,127,Não,Sim,Não,Não,71510,195.9,Agropecuária,Andradas,Em reforma,-22.09818,-46.577177,MG
2014,141,Não,Sim,Não,Não,965389,2644.9,Agropecuária,São Gabriel do Oeste,Em operação,-19.252762,-54.729795,MS
2018,144,Sim,Sim,Sim,Não,100375,275,Agropecuária,Campina da Lagoa,Em operação,-24.593319,-52.804078,PR
2018,146,Não,Sim,Não,Não,63826,174.9,Agropecuária,Irati,Em operação,-25.474922,-50.650356,PR
2015,147,Não,Sim,Não,Não,1094160,2997.7,Agropecuária,Lavras,Em operação,-21.24833,-45.001111,MG
2015,148,Não,sim,Não,Não,117650782,322330.9,RSU e Estação de Tratamento de Esgoto,Caieiras,Em operação,-23.349683,-46.773412,SP
2012,151,Sim,Sim,Não,Não,182500,500,Agropecuária,Toledo,Em operação,-24.486373,-53.81849,PR
2015,152,Não,Sim,Não,Não,73000,200,Agropecuária,Coronel Pacheco,Em operação,-21.554643,-43.262622,MG
2019,153,Sim,Sim,Não,Não,24671,67.6,Agropecuária,Braço do Norte,Em operação,-28.279167,-49.1575,SC
